club_slug,club_id,season,player_id,squad_inclusions,appearances,goals,assists,yellow_cards,second_yellow_cards,red_cards,substitutions_on,substitutions_off,ppg,minutes_played
akhmat-grozny,3725,2025,51274,25,0,0,0,0,0,0,0,0,0.0,0
akhmat-grozny,3725,2025,58971,26,14,0,1,1,0,0,0,0,1.14,1260
akhmat-grozny,3725,2025,253734,22,22,1,0,4,1,1,0,5,1.23,1857
akhmat-grozny,3725,2025,267383,19,12,0,0,0,0,0,10,1,1.17,302
akhmat-grozny,3725,2025,273945,26,26,0,1,1,0,0,0,2,1.23,2299
akhmat-grozny,3725,2025,281552,25,25,7,4,3,0,1,4,12,1.28,1861
akhmat-grozny,3725,2025,373374,24,20,3,1,0,0,0,14,6,1.0,618
akhmat-grozny,3725,2025,456814,25,20,1,0,4,0,0,2,7,1.15,1560
akhmat-grozny,3725,2025,457743,24,18,1,2,1,0,0,13,3,1.06,502
akhmat-grozny,3725,2025,486204,8,8,0,0,0,0,0,0,1,1.25,715
akhmat-grozny,3725,2025,621436,8,7,0,0,0,0,0,4,1,1.43,288
akhmat-grozny,3725,2025,623553,25,24,0,2,4,0,1,1,14,1.29,1851
akhmat-grozny,3725,2025,646894,7,7,0,0,2,0,0,1,4,1.43,497
akhmat-grozny,3725,2025,686862,4,0,0,0,0,0,0,0,0,0.0,0
akhmat-grozny,3725,2025,704593,8,4,0,0,1,0,0,4,0,1.25,64
akhmat-grozny,3725,2025,713071,25,25,5,8,2,0,0,5,16,1.28,1661
akhmat-grozny,3725,2025,799095,26,12,0,0,0,0,0,0,0,1.33,1080
akhmat-grozny,3725,2025,810558,24,19,0,0,3,0,0,7,5,1.26,1088
akhmat-grozny,3725,2025,829380,21,20,2,0,4,0,1,2,1,1.45,1658
akhmat-grozny,3725,2025,867082,16,6,0,0,1,0,0,6,0,1.0,96
akhmat-grozny,3725,2025,911400,24,24,8,4,1,0,1,0,6,1.29,2036
akhmat-grozny,3725,2025,917402,7,3,0,0,0,0,0,2,0,1.67,99
akhmat-grozny,3725,2025,1033039,5,0,0,0,0,0,0,0,0,0.0,0
akhmat-grozny,3725,2025,1059814,22,21,1,1,3,1,0,5,7,1.24,1357
akhmat-grozny,3725,2025,1107993,25,9,0,0,1,0,0,3,1,1.22,566
akhmat-grozny,3725,2025,1120351,19,0,0,0,0,0,0,0,0,0.0,0
akhmat-grozny,3725,2025,1178485,18,9,0,0,1,0,0,7,2,1.44,297
akron-togliatti,71985,2025,48067,24,24,8,5,2,0,0,1,1,0.75,2075
akron-togliatti,71985,2025,190188,26,22,0,0,1,0,0,0,0,1.0,1980
akron-togliatti,71985,2025,215213,19,1,0,0,1,0,0,0,0,1.0,90
akron-togliatti,71985,2025,268427,26,21,0,1,2,0,0,10,10,0.95,951
akron-togliatti,71985,2025,274694,23,23,1,1,5,0,1,0,3,0.91,1871
akron-togliatti,71985,2025,352599,25,25,4,2,3,0,0,5,12,0.92,1686
akron-togliatti,71985,2025,375857,12,10,1,1,1,0,0,2,5,1.2,659
akron-togliatti,71985,2025,391905,20,19,0,1,3,0,0,7,3,1.11,1186
akron-togliatti,71985,2025,396428,24,17,0,0,4,0,1,11,2,0.94,695
akron-togliatti,71985,2025,430488,18,13,0,1,0,0,0,7,4,0.92,552
akron-togliatti,71985,2025,535974,22,9,0,0,2,0,0,4,3,0.56,437
akron-togliatti,71985,2025,598101,26,25,1,2,1,0,0,2,2,0.96,2104
akron-togliatti,71985,2025,636601,18,14,1,0,2,0,0,4,5,0.79,844
akron-togliatti,71985,2025,645880,23,22,0,4,4,0,0,5,10,1.05,1458
akron-togliatti,71985,2025,700755,24,24,1,1,5,0,1,0,0,0.96,2137
akron-togliatti,71985,2025,820252,18,16,5,1,1,0,0,9,3,1.13,730
akron-togliatti,71985,2025,908807,15,11,0,0,3,0,0,3,5,0.91,699
akron-togliatti,71985,2025,917457,24,5,0,0,1,0,0,4,1,0.2,139
akron-togliatti,71985,2025,1033394,23,21,3,2,2,0,0,3,16,0.9,1448
akron-togliatti,71985,2025,1037971,25,25,5,4,0,0,0,3,5,0.96,1937
akron-togliatti,71985,2025,1038622,25,3,0,0,0,0,0,0,0,0.33,270
