shirt_number,player_id,player_name,position,date_of_birth,age,nationality,height_m,foot,joined,contract_end,market_value_eur,player_profile_url,club_id,club_slug
70,867082,Abakar Gadzhiev,Attacking Midfield,31/12/2003,22,Russia,1.8,left,01/07/2025,30/06/2029,500000.0,https://www.transfermarkt.com/abakar-gadzhiev/profil/spieler/867082,3725,akhmat-grozny
27,1033039,Akhmed Davlitgereev,Right Midfield,14/02/2005,21,Russia,1.76,left,19/02/2026,30/06/2026,,https://www.transfermarkt.com/akhmed-davlitgereev/profil/spieler/1033039,3725,akhmat-grozny
9,373374,Brian Mansilla,Left Winger,16/04/1997,29,Argentina,1.78,left,01/07/2025,30/06/2028,1500000.0,https://www.transfermarkt.com/brian-mansilla/profil/spieler/373374,3725,akhmat-grozny
82,621436,Daniil Khlusevich,Right-Back,26/02/2001,25,"Russia, Ukraine",1.86,right,18/02/2026,30/06/2026,2500000.0,https://www.transfermarkt.com/daniil-khlusevich/profil/spieler/621436,3725,akhmat-grozny
2,917402,Dzhamalutdin Abdulkadyrov,Centre-Back,23/03/2005,21,Russia,1.95,left,19/02/2026,30/06/2026,1000000.0,https://www.transfermarkt.com/dzhamalutdin-abdulkadyrov/profil/spieler/917402,3725,akhmat-grozny
17,911400,Egas Cacintura,Attacking Midfield,29/10/1997,28,Angola,1.74,right,01/07/2025,30/06/2028,2000000.0,https://www.transfermarkt.com/egas-cacintura/profil/spieler/911400,3725,akhmat-grozny
23,704593,Galymzhan Kenzhebek,Left Winger,12/02/2003,23,Kazakhstan,1.77,right,10/01/2026,30/06/2030,600000.0,https://www.transfermarkt.com/galymzhan-kenzhebek/profil/spieler/704593,3725,akhmat-grozny
77,281552,Georgiy Melkadze,Centre-Forward,04/04/1997,29,"Russia, Georgia",1.83,right,30/01/2025,30/06/2027,1200000.0,https://www.transfermarkt.com/georgiy-melkadze/profil/spieler/281552,3725,akhmat-grozny
88,58971,Giorgiy Shelia,Goalkeeper,11/12/1988,37,Russia,1.9,left,01/08/2020,30/06/2026,200000.0,https://www.transfermarkt.com/giorgiy-shelia/profil/spieler/58971,3725,akhmat-grozny
11,253734,Ismael Silva,Central Midfield,01/12/1994,31,Brazil,1.72,right,29/07/2024,30/06/2026,1000000.0,https://www.transfermarkt.com/ismael-silva/profil/spieler/253734,3725,akhmat-grozny
42,1059814,Kelliano,Defensive Midfield,16/01/2003,23,Angola,1.85,right,05/07/2025,30/06/2029,800000.0,https://www.transfermarkt.com/kelliano/profil/spieler/1059814,3725,akhmat-grozny
5,486204,Klisman Cake,Centre-Back,02/05/1999,26,Albania,1.85,right,10/01/2026,30/06/2029,900000.0,https://www.transfermarkt.com/klisman-cake/profil/spieler/486204,3725,akhmat-grozny
7,623553,Lechi Sadulaev,Left Winger,08/01/2000,26,Russia,1.79,left,01/07/2019,30/06/2028,3500000.0,https://www.transfermarkt.com/lechi-sadulaev/profil/spieler/623553,3725,akhmat-grozny
20,713071,Maksim Samorodov,Right Winger,29/06/2002,23,Kazakhstan,1.8,right,06/08/2024,30/06/2028,2500000.0,https://www.transfermarkt.com/maksim-samorodov/profil/spieler/713071,3725,akhmat-grozny
81,456814,Maksim Sidorov,Left-Back,18/03/1998,28,Russia,1.78,right,01/07/2025,30/06/2028,900000.0,https://www.transfermarkt.com/maksim-sidorov/profil/spieler/456814,3725,akhmat-grozny
8,273945,Miroslav Bogosavac,Left-Back,14/10/1996,29,Serbia,1.76,left,03/07/2020,30/06/2027,1000000.0,https://www.transfermarkt.com/miroslav-bogosavac/profil/spieler/273945,3725,akhmat-grozny
13,457743,Mohamed Konaté,Centre-Forward,12/12/1997,28,"Burkina Faso, Russia",1.91,right,08/07/2025,30/06/2028,1500000.0,https://www.transfermarkt.com/mohamed-konate/profil/spieler/457743,3725,akhmat-grozny
22,1107993,Mohammadmehdi Zare,Centre-Back,25/01/2003,23,Iran,1.95,right,22/07/2025,30/06/2029,900000.0,https://www.transfermarkt.com/mohammadmehdi-zare/profil/spieler/1107993,3725,akhmat-grozny
90,829380,Ousmane N'Dong,Centre-Back,20/09/1999,26,Senegal,1.92,right,21/07/2025,30/06/2028,900000.0,https://www.transfermarkt.com/ousmane-ndong/profil/spieler/829380,3725,akhmat-grozny
37,1178485,Papa Amady Gadio,Central Midfield,19/10/2001,24,Senegal,1.85,right,11/09/2025,30/06/2028,400000.0,https://www.transfermarkt.com/papa-amady-gadio/profil/spieler/1178485,3725,akhmat-grozny
10,267383,Rifat Zhemaletdinov,Attacking Midfield,20/09/1996,29,Russia,1.84,right,04/09/2025,30/06/2026,1500000.0,https://www.transfermarkt.com/rifat-zhemaletdinov/profil/spieler/267383,3725,akhmat-grozny
40,51274,Rizvan Utsiev,Right-Back,07/02/1988,38,Russia,1.73,right,01/01/2010,30/06/2026,50000.0,https://www.transfermarkt.com/rizvan-utsiev/profil/spieler/51274,3725,akhmat-grozny
19,646894,Sergey Pryakhin,Attacking Midfield,16/12/2002,23,Russia,1.75,right,10/01/2026,30/06/2029,1000000.0,https://www.transfermarkt.com/sergey-pryakhin/profil/spieler/646894,3725,akhmat-grozny
4,810558,Turpal-Ali Ibishev,Centre-Back,18/02/2002,24,Russia,1.88,right,01/07/2022,30/06/2028,1500000.0,https://www.transfermarkt.com/turpal-ali-ibishev/profil/spieler/810558,3725,akhmat-grozny
1,799095,Vadim Ulyanov,Goalkeeper,07/10/2001,24,Russia,1.87,right,15/01/2025,30/06/2028,750000.0,https://www.transfermarkt.com/vadim-ulyanov/profil/spieler/799095,3725,akhmat-grozny
